Samplingpoint,Start,End,Value SO2,Unit,Value PM10,Unit,Value NO2,Unit,Value PM2.5,Unit,AggType,Validity,Verification,ResultTime,FkObservationLog
RO/SPO-RO0074A_00001_100,12/31/2022 23:00,1/1/2023 0:00,9.525621,ug.m-3,87.979333,ug.m-3,24.181139,ug.m-3,79.400333,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 0:00,1/1/2023 1:00,9.366423,ug.m-3,90.843333,ug.m-3,27.37423,ug.m-3,80.222333,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 1:00,1/1/2023 2:00,10.902752,ug.m-3,147.559999,ug.m-3,36.576225,ug.m-3,134.18,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 2:00,1/1/2023 3:00,11.615032,ug.m-3,127.97,ug.m-3,35.145777,ug.m-3,117.313333,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 3:00,1/1/2023 4:00,10.558814,ug.m-3,109.393333,ug.m-3,30.531045,ug.m-3,98.989666,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 4:00,1/1/2023 5:00,10.086501,ug.m-3,109.666666,ug.m-3,25.496304,ug.m-3,99.554,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 5:00,1/1/2023 6:00,9.946306,ug.m-3,105.993666,ug.m-3,24.527571,ug.m-3,96.275333,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 6:00,1/1/2023 7:00,9.986306,ug.m-3,96.626,ug.m-3,22.817761,ug.m-3,87.773666,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 7:00,1/1/2023 8:00,9.859346,ug.m-3,92.487999,ug.m-3,22.964069,ug.m-3,84.044666,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 8:00,1/1/2023 9:00,10.042525,ug.m-3,88.758666,ug.m-3,27.002097,ug.m-3,81.118333,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
RO/SPO-RO0074A_00001_100,1/1/2023 9:00,1/1/2023 10:00,10.164016,ug.m-3,78.842999,ug.m-3,25.257484,ug.m-3,72.058,ug.m-3,hour,1,2,10/9/2023 9:33,eeeb51c0-78aa-4e54-9ec3-53a0c6e0eb5d
